大門口(大學廣場),大門口所連接的路段是哪兩個路段,羅斯福路四段和新生南路三段,羅斯福路三段和新生南路三段,汀州路一段和新生南路三段,羅斯福路四段和新生南路一段,包圍台大的四條路分別是(從校門口順時鐘講)，羅斯福路四段、新生南路三段、辛亥路二段、基隆路四段,大門口的國立臺灣大學題字所題人是誰？,朱家驊,朱自清,管中閔,郭大維,為當時的教育部長朱家驊所題,臺大校門建於幾年？,1931,1981,1961,1991,1931年,戒嚴時期校門前廣場未避免群眾聚集設立了花壇與圍牆，直到2003年拆除並加以重新命名，請問此廣場現名為何？,大學廣場,民主廣場,自由廣場,中正廣場,台大校門前廣場在1979年被築起圍牆與花壇，直到2003年校方決議恢復廣場於1970年代的形式，並命名為「大學廣場」,下列關校門口的敘述何者為非,校門迄今並未列為古蹟,唭哩岸石材,左右對稱的碉堡外型,象徵謙遜學風的低調設計,1998年台大校門被指定為台北市定古蹟,戒嚴時代大門口廣場沒有軍警管制，成為各界發表言論的地點，下列何並未在大學前廣場舉辦活動？,1960中國民主黨的「選舉改進座談會」, 1972康寧祥參選立委,1978哲學系事件陳鼓應成立競選總部,1978中美斷交,中國民主黨的籌組分別彰化、台中、嘉義、高雄、中壢舉辦選舉改進座談會
傅鐘,傅鐘每次打響幾聲,21,20,24,22,1951年為紀念傅斯年校長所設，並由於傅斯年ㄈ校長認為「一天只有二十一小時，剩下的三小時是用來沈思的。」 所以鐘聲每次敲響21下,在鑄造傅鐘時，當年的兵工廠同時鑄造了另一口鐘，請問這個一起出廠的鐘目前置於哪個學校?,台南成功大學,新竹清華大學,台北政治大學,台中逢甲大學,,下列哪個歷史事件和傅鐘有關?,保釣事件,美麗島事件,哲學系事件,陳文成事件,由於傅鐘具精神與聲音上相關意義，保釣事件時，先後有學生在傅鐘進行靜坐、絕食等抗議。,傅斯年長期被神化為校園民主的守護者，還原四六事件當時，請問何者非傅斯年對彭孟緝所言,不准逮捕學生,要趕快做,要趁抵做,不准流血,傅斯年並非想像中力抗極權的自由派學者而是堅決反共者，因此選擇與國家合作以軍隊掃蕩校園,以下何者不是台大校園交通車的停靠站,小福,傅鐘,社科院舊址,醫學院,,關於傅鐘的敘述何者錯誤？,2018上半年有群眾為了支持楊泮池聚集此處,現在由電子敲鐘,早期有工友負責敲鐘,在2018上半年被綁很多黃絲帶,讓新生知道台大校園狀況
傅園,傅園的入口在,靠近大門口處,舟山路上,新月台附近,,從校門口進入後右轉就可以看到傅園入口，同一方向也是女一、二、三、五舍的出入口,傅斯年校長因何原因逝世？,腦溢血,車禍,癌症,自然辭世,傅斯年校長是因腦溢血而逝。,傅斯年校長幾年辭世？,民國39,民國36,民國41,民國43,民國36,傅園本來的作用為？,植物系的標本園,化工系的實驗地,森林系的實驗林,植微系的預定地,事實,傅斯年為臺大第幾任校長？,四,一,二,三,第四任,何者並非傅園的特色,前身是帝大動物園,斯年堂仿製希臘帕德嫩神廟,傅園裡面有傅斯年的骨灰罈,帕德嫩神廟被作為民主象徵，因此斯年堂可說是神話傅斯年,去年講義
行政大樓,行政大樓位於哪個校內景點附近,傅鐘,總圖,傅園,新月台,從椰林大道上看，傅鐘後面就是第一行政大樓,行政大樓裡的行政人員幾點下班？,5:00,5:30,6:30,4:30,行政人員的下班時間是，記得有相關行政事項要在行政人員下班前處理。,行政大樓的黑瓦紅磚建築、拱頂石、帶卷草的螺型托座為何種建築形式之特色?,後期文藝復興時期,日治時期,巴洛克時期,後現代主義時期,,行政大樓曾在不同時期扮演不同的行政用途，以下何者為非,校本部與理工農三院辦公室,台北高等農林學院本部,理農學院及專門部本部,行政大樓,行政大樓中間的坐落著的會議室在60年代是校本部及理工農三院辦公室,何者並非行政大樓的建築特色,山牆,仿後期文藝復興風格,黑瓦、紅磚,四根科林斯式立柱,行政大樓建築風格迥異於椰林大道建築群，反映出不同興建年代與教育體制的變化,下列何單位位於在行政大樓西側的一層樓平房，而非行政大樓內部?,學生住宿服務組,註冊組,僑生及陸生輔導組,課外活動指導組,
校史館,校史館原先是作為什麼功用的建築,圖書館,文學院,理學院,行政大樓,就總圖於1929年完工，1998新總圖落成並啟用後成為日文系館和國科會人文中心，在2005年校史館進駐,校史館一樓匾額上題了什麼字？,敦品勵學,愛國愛人,臺灣大學,校史館,敦品勵學,校史館二樓有何人之塑像？,傅斯年,錢思亮,閻振興,虞兆中,校史館二樓有傅斯年之塑像,校史館為以前的舊總圖，二樓的作為閱覽室，窗戶採大拱窗設計，那一樓的小開窗有甚麼功用呢?,保存書籍,防止竊盜,實驗研究,防止火災,校史館一樓為過去舊總圖之書庫，為避免日光對藏書的影響，採取小開窗設計。,何者非校史館建築特色,地下室是藏書空間,歷經五次的擴建,閉架室藏書管理,二樓以大型拱窗採光,究總圖(校史館)建築是以閉架室藏書管理而設計的，一樓較為隱蔽為藏書間，二樓則為挑高設計配合大型拱窗的閱覽室。,何者並非舊總圖(校史館)的建築特色,黑瓦、紅磚,仿羅馬建築風格,大型拱窗,拱門,舊總圖採用的是北投窯場的時三溝面磚
文學院,文學院的興建時間是,台北帝國大學時期,台灣大學時期,,,文學院完工於1929年，是當時台北帝大的看板建築,請問下列哪一系所包含在文學院內？,以上皆是,哲學系,戲劇學系,人類學系,以上系所皆屬文學院,哪位傑出校友畢業於文學院？,林文月,林泠,邱妙津,侯文詠,林文月為中文系畢業，邱妙津為心理系畢，侯文詠為醫學系畢業，林泠為化學系畢業。,著名作家白先勇為台大外文系之校友。請問下列何者非白先勇之著作?,《家變》,《孽子》,《孤戀花》,《一把青》,《家變》為台大外文系校友王文興之作品。,文學院擁有校內最大的「車寄」，請問其功能為何?,遮陽避雨,停放腳踏車,郵筒,藏書,「車寄」為日文的門廊，讓車子臨時停放，以供賓客上下車，遮陽避雨，不受天氣影響。,何者並非文學院的建築特色,東西向的長型建築量體,山牆,拱窗,斜屋頂,文學院具備椰林大道建築群的經典特色：山牆、拱窗、斜屋頂、中央門廊
陳文成廣場,陳文成廣場是為紀念哪一事件所設立,陳文成事件,江南案,美麗島事件,林宅案,陳文成事件是1981年台大陳文成教授離奇陳屍於台大校園的事件，真相至今未明，由於陳文成教授曾贊助美麗島雜誌，並關注民主與民權一提，此案普遍被認為涉及政治。2015年該地點正式被命名為陳文成事件紀念廣場,陳文成事件的發生時間？,1981,1971,1991,1961,陳文成事件的發生時間為1981年,請問台大校花為何?,杜鵑花,梅花,蓮花,雞蛋花,,請問台大校地約佔台灣總面積的百分之幾?,1,0.1,0.5,2,臺大幅員遼闊，校地分布臺北、宜蘭、新竹、雲林，以及中部高山地區，校地面積約3萬4千公頃，佔臺灣總面積的百分之一，提供師生豐富的生物與生態多樣性研究環境。,107學年度第一學期開學日為幾月幾號?,9/10,9/15,9/6,9/12,,,,,,,
土木系館(校園規劃題),土木工程館與哪一棟建築相連,化學工程館,電機一館,機械工程學系館,化學館,土木工程館與化學工程館在建築結構上為同一棟建築,土木系館因建造當時受國際流行影響，頗富現代主義建築元素。下列何者是現代主義建築特色?,強調實用及線條簡潔,山牆及斜屋頂,以拱型為主要結構形式,強調垂直線條,其他選項為日治時期建築特色，例如文學院即為台大之中具代表性的日治時期建築之一。,以下關於土木系館的敘述何者錯誤,土木系為戰後成立之科系,該地曾為?公圳流經處,位於椰林大道上,具有臺大傳統建築風格,日治時期1941年時設立工學部，土木系前身為當時的土木工程學講座,土木系館由誰設計?,校內營繕組人員,王大閎,伊東豐雄,李祖原,土木系館是校內人員資源不足的環境下營造,,,,,,,,,,,,
一活,何者不是一活的功用,一般課程上課,社團辦公室,餐廳,演出禮堂,活大一樓包括餐廳、怡仁堂，二樓有社團辦公室、排練教室、鋼琴教室，學生可登記使用,請問一活（第一學生活動中心）位於哪裡？,總圖旁,醉月湖旁,管理學院旁,新體旁,管理學院旁為二活,請問第一學生活動中心(活大)的設計是由哪位建築師操刀?,王大閎,伊東豐雄,李祖原,森山松之助,王大閎為台大設計13棟建築，如活大、保健中心等，有台大御用建築師之稱。,何者不是一活內的學生餐廳,八方雲集,麥當勞,韓風小舖,食香園素食館,活大內的鍋貼水餃店是四海遊龍。,活大建築融合了中國傳統與現代主義，何者並非活大建築特色。,清水模,天井,飛簷,臺基,活大具有許多中國傳統建築的語彙，包含屋頂兩邊的飛簷、建築本體下方的臺基、屋內的天井等。,,,,,,
農業陳列館及周邊,農業陳列館附屬於台大哪一學院,生物資源暨農學院,醫學院,公共衛生學院,生命科學院,位於新月台對面的農業陳列館成立在1964年，隸屬生物資源暨農學院，旨在呈現台灣農業發展與改革的過程與成果,農陳館於民國幾年開幕？,民國53,民國55,民國51,民國57,事實,農業陳列館由張肇康先生設計，在建築設計上呼應許多中國傳統建築元素。,O,X,,,農業陳列館的建築設計呼應中國傳統建築的墊高臺基、屋身內縮及懸挑大屋頂，為現代中國建築中呼應中國傳統的經典手法。,戰後初期有少數日籍教授被台大留任，其餘被遣返回國，下列何者被遣返回國。,太田賴常,高?知武,松本巍,磯永吉,太田賴常是亞洲做出人工撞擊原子核實驗的第一人，而在1949年被國民政府遣返日本,,,,,,,,,,,,
普通,普通教學館有幾層樓,5,4,6,3,普通教學館有5層樓，不同教室可容納300~80個學生,普通教學館總共有幾間教室？,25間,28間,30間,38間,普通教學館有25間教室,在學生會性工坊的推動下，台大校內共有五台保險套販賣機，請問普通教學館的保險套機台位於何處?,一樓男廁旁,二樓電梯旁\,一樓女廁旁,二樓管理室旁,保險套販賣機位於一樓男廁旁，該機台是校內五台中第一名，歡迎同學多加利用。,普通教學館與博雅教學館相連的通道位於幾樓?,2F,3F,4F,5F,,,,,,,,,,,,,
小福,台大校內唯一一家腳踏車店的位置是,小福樓對面,椰林大道上,活大後面,普通教學館對面,志雄單車店，廉實惠的價格給台大學生做腳踏車維修服務，也免費提供機油和充氣設備任學生自行DIY，目前店家由學校公開招標校外廠商進駐提供低,與其餘三選項相比，與小福相隔最遠的教室是哪一棟？,數學館,普通教學館,博雅教學館,文學院,數學館距離小福最遠,請問小福內沒有以下什麼店?,台大農產品中心,福利社,郵局,影印店,福利社及郵局位於小福一樓，影印店則位於小福三樓。,小福三樓並無以下哪個店家?,八方雲集,Hello Caf?,經典影印,金興發,八方雲集位於小福二樓,,,,,,,,,,,,
共同(三松),共同教室前方的樹木是,松樹,榕樹,椰子樹,樟樹,共同教學原是七號館地點，種有5棵琉球松樹，施工時2棵枯死，如今3棵繼續佇立在共同教學館前面,共同教學館與哪棟建築物最不接近？,普通教學館,小福,博雅教學館,以上皆是,相較其他兩個選項，共同教學館與普通教學館最不接近,十三溝面磚為表面有鋸齒的陶質色磚，具柔化陽光反射、軍事偽裝的作用，台大有許多建築採用此建材，請問下列建築何者並未採用十三溝面磚?,博雅教學館,共同教學館,文學院,校史館,,共同教室的設計採取高樓退縮，樓層越高越往後退，請問原因為何?,為配合共同前面松樹的生長,增加美感,避免松鼠進入教室,減少太陽斜曬,共?教室的設計採高樓層退縮，樓層越高，退縮越多，為配合共同前方松數的生長,請問共同教學館有幾樓,4,6,4,5,共同教學館，供大一大二共同科目課程及通識課程使用空間，共有四層樓。,,,,,,
小小福與遭邊(吃、大陸社、理髮、鬆餅、洗衣部),小小福的主要功能為,覓食,交辦行政事項,上課,舉辦社團活動,小小福販賣簡單餐點，也設有福利社提供日常生活用品,距離小小福最近的建築物為何？,普通教學館,博雅教學館,總圖,社科圖,距離小小福最近的建築物為普通教學館,至小小福旁小吃部購買食物須注意甚麼事項?,需自備零錢不找零,須備妥學生證,須注意下午有休息時間,須自備容器不主動提供,小小福旁第二小吃部不提供找零服務，須自備零錢，可至福利社換錢。,何者非小小福內餐廳供應的食物,姐妹花雞排,素食,滷肉飯,紅豆餅,2017年台大開店三十餘年知名姊妹花雞排(第二小吃部)歇業，消息釋出時造成搶購熱潮。,關於大陸社何者為非？,大陸是指南極大陸,全名為大陸問題研究社,創社初期宣導反共,位於理髮部隔壁,大陸社跟台灣政治發展脈絡相關,,,,,,
椰林小舖及周邊(性平會、住宿組、煙囪),椰林小舖如今的正式功用是,校園紀念販賣點,網美拍照景點,夜間試膽地點,吃飯用餐地點,販賣Colaz出品的台大衣服，但由於建築外觀好看，出題者親眼看過外拍小模和攝影師出沒在附近,椰林小舖旁的一大塊用地有何種功用？,腳踏車停車場,學生運動場,台大林場,台大農場,為腳踏車停車場,椰林小舖附近可看見一口煙囪，在日治時期進行農化醱酵實驗。請問此實驗的功用為何?,生產軍需燃料,生產抗污藥劑,生產農業肥料,提高室內溫度,製糖過程中剩下的粗糖可藉由醱酵作用直接生成丙醇和丁醇，作為替代航空燃料使用。,下列何者建築以前曾為帝大農學部玻璃工廠?,小木屋鬆餅,性平會,椰林小舖,住宿組,性平會現址為帝大理農學部玻璃工廠，負責供應大學內玻璃製品的需求,大陸社與美髮部過去曾為何什麼教室,理農學部農化學教室,理農學部物理教室,理農學部生物學教室,理農學院植物學教室,大陸社與洗衣部現址的一排磚房為理農學部農化學教室。,,,,,,
?公圳(含歷史變遷),於近兩年興建完成的?公圳復原工程位置在,博雅教學館附近,舟山路台大生態池附近,醉月湖靠新體處,新生南路?公圳紀念碑附近,台大從2015年重啟2001年因水源不足而停擺的?公圳復育計畫，將引用新店溪水源從農學院實驗同場，經舟山路、小椰林東緣、思亮館，最後抵達醉月湖,?公圳最早於何時興建完成？,乾隆25年,乾隆10年,乾隆15年,乾隆20年,?公圳最早於乾隆25年興建完成,?公圳大安支線在過去曾切過許多台大現址，何者為非。,社科院,醉月湖,台大農場,土木系館,?公圳大安支線從公館圓環分流，切過農場、生態池、森林系館、土木系館、醉月湖,?公圳興建者為曹謹。,X,O,,,?公圳興建者為郭錫?父子。,,,,,,,,,,,,
醉月湖(天數、海洋研究所),醉月湖是學校官方命名的名稱嗎,不是,是,,,醉月湖原是校內生態池，1973年學生自主舉辦划船比賽，主辦單位為了方便宣傳，在《畢聯會訊》上第一次使用「醉月湖」的名稱，沿用至今,「醉月湖」的名稱最早是何時出現？,1973,1988,1979,1958,1973年，鄭梓和蘇元良兩位同學為舉辦畢業聯誼會，因此策劃了划船比賽，為了能使畢業生踴躍參與及吸引校內其它同學的目光，這兩位同學將比賽地點命名「醉月湖」,醉月湖中，通往湖心亭的橋是在1985年遭到校方拆除。,X,O,,,醉月湖從未建造過通往湖心亭的橋。,以下關於醉月湖的敘述何者為非?,位於國發所後側,舊名牛湳池,原為調節?公圳之用,曾舉辦划船比賽,醉月湖周遭建築有新體、舊體、天數、思亮館、新生教學館。,,,,,,,,,,,,
台大農場(生態池),台大農場著名的商品，經常被校外人士排隊搶購的是,牛奶,牛肉,高麗菜,麵包,臺大農場自有產品包括：臺大鮮奶、優酪乳、豆奶、冰淇淋三明治、冰棒、紅蘿蔔土司、清蛋糕、麵包、肉製品、園藝產品、農藝產品…台大所有福利社都有一定配額可以買，可是牛奶這一產品經常被校外人士搶購一空，要買得早起。p.s.社科院地下室的福利社因為人很少，是少數到中午還有機會買到牛奶的地點,台大鮮奶相當著名，請問台大最早開始生產鮮奶是西元幾年呢？,１９２８,１９３８,１９４８,１９５８,１９２８年時就已開始生產鮮奶，但因產量少，故皆直接送至台大醫院，供病患服用。,請問目前台大農場有飼養哪些動物?,以上皆是,乳羊,乳牛,小耳種李宋系迷你豬,台大農場目前飼養 有乳牛、乳羊及小耳種李宋系迷你豬。牛乳平均每日產量約500-600公斤、羊乳平均每日約產40-60公斤,生農學院開設了數堂課程供同學修習並於台大農場中體驗，請問為下列何者課程。,以上皆是,現代農業體驗,田園生活體驗,以上皆非,生物資源暨農學院開設「現代農業體驗」及「田園生活體驗」，提供全校學生選修,,,,,,,,,,,,
社科院(社圖、舊社科),社科院建築的設計師是,伊東豐雄,包浩斯,扎哈•哈蒂德,皮埃爾•德麥隆,社科院新館於2014年正式啟用，由日本設計師伊東豐雄設計，西側名為介宙館，東側名為頤賢館，圖書館則名為辜振甫先生紀念圖書館，三樓獨立設有梁國樹會議廳,社科院大樓位於哪一條路旁？,楓香道,水杉道,小椰林道,舟山路,社科院大樓位於楓香道旁,社科院圖書館中的柱子數目一共是幾根?,88,77,66,55,,社會科學院目前有4個系：政治學系、經濟學系、社會學系及社會工作學系，另有三個獨立研究所，下列何者並非包含其中?,經濟研究所,國家發展研究所,新聞研究所,公共事務研究所,,社科院圖書館前面有塊石碑請問刻了什麼字,學而第一,敦品勵學,力學不倦,自強不息,館名由董陽孜女士題字鑴刻辜先生生前著作「學而第一」為卹勉 ，藉以期勉社會科學者有宏大胸懷及視野，並有謙沖致和的修身素養。 ,請問社圖的閉館音樂為下列哪首曲子,莫札特G大調弦樂小夜曲（K.525）的第二樂章,蕭邦（Frederic Franc?is Chopin，1810-1849）的夜曲（Nocturnes），作品九之二與三,費玉清唱的《晚安曲》,W. A. Mozart - KV 600 - 6 German Dances for orchestra,社圖的閉館音樂是莫札特G大調弦樂小夜曲（K.525）的第二樂章
總圖,台大校徽不包含什麼,總圖,椰子樹,傅鐘,梅花,1982年經校內外徵選的結果，由梅花為外型，內含抽芽的椰子樹以及傅鐘，外圍以校訓環繞,總圖於民國幾年落成？,民國87年,民國85年,民國50年,民國92年,總圖於民國87年落成,總圖前的椰林大道尺度氣派，用以象徵日本帝國的「帝國東昇」，不過椰林大道在五六零年代時有很多稱呼，請問何者為非?,椰風大道,陽光大道,校園大道,落霞道,50年代畢業冊中同學稱其為「陽光大道」，1964的〈臺灣大學校園樹木〉文章中稱作「校園大道」，1964的中文系校友在老照片中題字稱呼為「落霞道」,總圖B1自習室幾點閉館?,24小時開放,晚上12點,晚上10點,凌晨2點,總圖B1自習室24小時開放，歡迎同學多加利用,總圖前的草皮叫什麼名字？,振興草皮,大學廣場,精神廣場,沒有名字,,,,,,,
霖澤館周遭,霖澤館是哪一系所的系館,法律系,經濟系,國家發展所,政治系,法學院系館包括霖澤館、萬才館，皆位於辛亥路上,霖澤館與哪一棟系館同為法律系館？,萬才館,德田館,知武館,納環館,德田館為資工系館，知武館為生機系館，納環館為工科及海洋工程學系館,位於台大後門的國青宿舍、霖澤館、以及萬才館所間的一大片茂密樹林俗稱為何?,黑森林,法律林,榕樹林,實驗林,事實,下列有關於霖澤館的介紹何者為非,民國88法律系獨立自成立法學院,民國88年法律學院成立,法律系過去屬於台北帝大的文政學部,舊法學院成員改名為社會科學院,民國88年，法律系及法律研究所從法學院中獨立，成立法律學院,,,,,,,,,,,,
工綜(工學院學系變遷、地理方面),工學院綜合大樓是工學院重要的實驗室、系所辦公室、教室所在地點，那它的位置在,水杉道與楓香道交叉口,舟山路盡頭,蒲葵道上,椰林大道盡頭,舟山路盡頭的明達館屬於電機學院，蒲葵道上有普通教學館、原子與分子科學研究所，椰林大道盡頭是總圖,臺北帝國大學時期最後一棟興建的建築是哪棟？,機械工程館,化學工程館,工學院綜合大樓,土木工程館,臺北帝國大學時期最後一棟興建的建築是機械工程館,下列何者並非50年代工學院轄下的大學部科系,材料科學與工程學系,土木工程學系,電機工程學系,機械工程學系,材料科學與工程學於2001年創立,下列關於工學院的敘述何者錯誤,電機系屬於工學院,1941年台北帝大成立工學部,目前有五個系所與六個研究所,2018英國QS世界大學排名台大工學院全球第19,,,,,,,,,,,,,
博雅(建築、學開、歷史),博雅教學館是所有教學大樓中最新的一棟，那他的命名原因是,全校師生共同命名,監察院院長張博雅掛名捐贈,當時校長李嗣涔所命名,,2011年杜鵑花節舉辦命名活動票選而出,博雅教學館內有何種空間提供學生自習？,博雅學習開放空間,博雅資訊教室,博雅圖書館,博雅普通教室,博雅教學館內有學習開放空間提供學生自習,博雅教學館於民國幾年完工？,民國99年,民國101年,民國98年,民國95年,博雅教學館於民國99年完工,現在博雅教學館的地原本要做何用途？,興建人文大樓,興建社會科學院,興建自動化高密度書庫,以上皆非,,博雅101教室最多可容納多少人?,400,200,500,300,,,,,,,
二活,第二活動中心的主要功用是,校內社團活動,通識課程教室,行政辦公室,自習中心,第二活動中心與管理學院第二館屬同棟建築，第二活動中心內設有社團辦公室、演講廳、排練室、社團活動教室，旨為提供校內社團活動使用，是校內學生社團少數可免費使用的教室,二活主要是哪個學院的所在處？,管理學院,社會科學院,文學院,工學院,管理學院,第二學生活動中心可出借場地不含下列何者?,103展示室,303學生交誼室,403團練室,1012排練室,103展示室位於活大。,有關管理學院的敘述何者錯誤,原為文學院商學組,1987管理學院正式成立,大學部中資管系最後成立,1972年商學研究所成立,原為法學院商學組,關於雅頌坊的敘述何者錯誤？,台大學生均能免費觀賞演出,曾是美軍在臺營區內的教堂,由台大藝文中心管理,靠近基隆路段,,,,,,,
外教中心(功能、生活、語言課程、考試、圖書館),外教中心不提供什麼服務,日語課程,外語教學資源提供,進階英文免修申請,劇場場地借用,外教中心提供亞洲語文課程，但日語除外，請找日文系,外語教學中心３樓３０２室擁有豐富語言類書籍館藏，又稱為Ｅ自學空間。請問其開放時間為下列何者？,星期一至五8:30-16:45,星期一至日8:30-16:45,星期一至日8:00-18:45,星期一至五8:00-18:45,,為提倡外語自學風氣，外教中心提供外語自學認證，於六個月內同一語言、級數修滿幾個小時後即可申請認證?,36,48,72,96,,台大外語課程目前沒有下列何種語言?,匈牙利語,土耳其語,俄語,阿拉伯語,,請問學期間二活閉館時間為何,pm 10:00,pm 11:00,pm 12:00,pm 9:00,開學時二活開閉館時間為週一至週日上午八時至下午十時,,,,,,
計中(功能),計算機中心不提供什麼服務,微積分教學,一學期100點額度的影印,授權軟體下載,網路與軟體相關課程教學,台大計算機及資源網路中心提供授權軟體下載、NTUmail服務、開設網路與軟體相關課程、影印掃描相關服務，每學生一學期可有100點影印額度，可跨學期累加，學生也可額外購買影印卡,計中列印的電腦使用時間是多久？,五分鐘,十分鐘,十五分鐘,二十分鐘,計中列印的電腦使用時間是五分鐘，五分鐘到後會自動登出。,計中提供台大學生每年每位學生的影印配額為?,200單位,100單位,150單位,300單位,計中提供之台大學生免費列印配額為每學期100單位，即每年200單位。(每學期列印配額會累加保留，直到畢業為止。),在計中雙面黑白列印上課要用的資料，一共列印了10面，需要花費多少配額呢?,7.5單位,10單位,15單位,10.5單位,黑白列印（印表機 4600 9050）單面列印，每頁為1單位，雙面列印，每頁為1.5單位。1.5*5=7.5。,,,,,,,,,,,,
新體,新體的正式名稱其實是「綜合體育館」，但因其外型又可戲稱為,台大小巨蛋,台大音樂廳,台大尊賢館,,台大沒有音樂廳，但新體可以外租給校外單位提供音樂會相關活動使用；台大尊賢館位於二活旁邊，由捷絲旅提供住宿服務,新體位於哪條路旁？,新生南路三段,羅斯福路四段,汀州路三段,基隆路三段,新生南路三段旁,新體目前並沒有下列哪項運動的場地?,射箭,籃球,技擊,羽球,,台大新生若想辦理新體重訓室一年期會員，需支付多少費用呢?,1350元,2250元,3600元,7200元,辦理新體健身房一年會員，台大學生費用為1350元，教職員為2250元，眷屬為3600元，校友為7200元，校外人士為9000元。,進入新體健身房為運動者安全及公共清潔問題，設有若干規定，下列何者不是必備事項?,攜帶沐浴用品,穿著乾淨鞋底之室內專用運動鞋,攜帶毛巾,穿著運動衣褲,進入新體健身房運動前請自行檢查：(1)運動衣褲；(2)乾淨鞋底之室內專用運動鞋；(3)毛巾，是否都符合規定，否則不予入場。,,,,,,
舊體,台大舊體比起新體佔有優勢的地方是,登記使用舊體場地不用錢，新體比較貴,舊體有游泳池新體沒有,舊體位置交通方便,舊體採光良好,舊體所有的硬體設備新體全都有，而且新體絕對比較新，新體更位在主要幹道旁邊，交通方便，而非如舊體位於校園內。但相對之下舊體所有場地和器材的使用費用都比新體便宜,舊體位於台大官方版地圖上的英文名稱為何？,Gymnasium,Sport Field,Gym,Sport center,依據台大地圖可知，舊體英文名稱為Gymnasium,臺大目前有37個運動代表隊，不包含下列何項運動,壁球,高爾夫,手球,手球,本校現有田徑、游泳、籃球、排球、足球、棒球、橄欖球、羽球、壘球、桌球、網球、軟網、手球、柔道、跆拳道、劍道、射箭、擊劍、國術、高爾夫等二十項，男、女生共三十七個運動代表隊,台大學生持學生證，另外須付費多少錢方可進入舊體重訓室呢?,0,50,100,150,,,,,,,,,,,,,
118巷,118項主要是哪一所學院人的活動範圍,社會科學院,管理學院,工學院,電機學院,118巷指位於辛亥路二段北方的巷弄，鄰近後門、社科院、霖澤館、語言中心，有多樣餐廳可供選擇,118巷最靠近哪一捷運站？,科技大樓站,公館站,台電大樓站,台大醫院站,118巷最靠近科技大樓站,台大學生俗稱的118巷，其實是下列哪條路的118巷?,和平東路2段,大安路2段,辛亥路2段,復興南路2段,,118巷除了接近台大以外最接近哪所大學？,國立台北教育大學,國立臺灣師範大學,國立台灣科技大學,國立台北科技大學,,,,,,,,,,,,,
新生大樓(功能),新生大樓是哪一種類型的建築,教學大樓,學術大樓,行政與服務大樓,學生宿舍,新生大樓是作為教學功能使用，包括大一共同必修、通識教育、全校性分班編組課程,新生大樓由誰設計？,虞曰鎮,貝聿銘,伊藤忠雄,傅斯年,由台灣建築師虞曰鎮設計,新生大樓共有幾層樓？,5,4,3,2,新生大樓共有5層樓,台灣大學校慶為幾月幾日?,11/15,12/4,10/13,4/28,台灣大學校慶為11/15，全校放假一天。,,,,,,,,,,,,
溫州街(功能),溫州街是指位於哪條道路附近的商圈,新生南路三段,基隆路四段,辛亥路二段,羅斯福四段,溫州街位於新生南路三段西方，曾是台大教授宿舍所在地，如今發展成各種商店的聚集地，包括餐廳、書店、影印行......生活機能完善,台大校內沒有下列何者連鎖速食餐廳?,肯德基,麥當勞,四海遊龍,八方雲集,肯德基位於新生南路上，麥當勞及四海遊龍位於活大，八方雲集位於小福。,漫步溫州街將看不到以下何地景?,紀州庵,殷海光故居,紫藤廬,加羅林魚木,,從台大穿過溫州街不會接近何處？,捷運科技大樓站,師大夜市,國立臺灣師範大學,捷運台電大樓站,,台大學生常提到的約定地點新月台位在哪條路旁?,新生南路,羅斯福路,復興南路,辛亥路,,新月台的名字由來為者為非？,萬新鐵路的新站,中文系老師蔡璧名命名,新字代表新生、新入口、新地標,月字呼應醉月湖,讓新生不要誤以為新月台真的作為月台使用過
公館商圈,公館商圈不提供什麼功能,辦戶口,通勤,覓食,血拚,公館商圈附近有公車站、捷運站、各類商店、公館夜市、水源劇場。距離台大最近的戶政事務所則位在大安森林公園旁，靠近師大夜市商圈,下列何者位於公館商圈？,水源市場,118巷,臺灣科技大學,以上皆非,水源市場位於公館商圈內,腳踏車在公館被拖吊要去哪裡領,龍門國中,水源拖吊場,龍安國小,台北區監理所,警告大家校外停車要小心,下列哪條路離公館商圈最遠？,復興南路,汀洲路,羅斯福路,新生南路,,,,,,,,,,,,,
水源校區,文學院中的下列哪個系所的系館位於水源校區,哲學系,日文系,圖書資訊學系,中文系,除了哲學系，人類學系也位於水源校區,水源校區沒有下列哪個場域？,醫學院,人類系館,腳踏車拖吊場,太子學舍,醫學院位於城中校區。,關於台大水源校區，下列何者正確?,有自行車拖吊移置場,有計算機及資訊網路中心,有外語教學暨資源中心,有附設農業實驗場,,下列哪個地點沒有出版中心書店?,社科院,總圖,水源校區,校史館,,水源校區原本為哪個單位所有？,國防部,行政院,大考中心,陸委會,,水源校區在日治時代是哪個單位使用？,日軍砲兵聯隊營區,檔案館,台北高等農林學校,以上皆非,
