校門口,大門口所連接的路段是哪兩個路段？,羅斯福路四段和新生南路三段,羅斯福路三段和新生南路三段,汀州路一段和新生南路三段,羅斯福路四段和新生南路一段,包圍臺大的四條路分別是（從校門口順時鐘），羅斯福路四段、新生南路三段、辛亥路二段、基隆路四段,大門口的國立臺灣大學字樣題字人是誰？,朱家驊,朱自清,管中閔,郭大維,為前教育部長朱家驊所題。,一般情況來說哪個交通工具不能在校園內行駛？,機車,汽車,腳踏車,接駁車,臺大校內禁行機車，不過駐警隊可以行駛。,戒嚴時期校門前廣場為避免群眾聚集設立了花壇與圍牆，直到2003年拆除並加以重新命名，請問此廣場現名為何？,大學廣場,民主廣場,自由廣場,中正廣場,臺大校門前廣場在1979年被築起圍牆與花壇，直到2003年校方決議恢復廣場於1970年代的形式，並命名為「大學廣場」。,下列關校門口的敘述何者為非?,校門迄今並未列為古蹟,唭哩岸石材,左右對稱的碉堡外型,車道不可逆向行駛,1998年臺大校門被指定為臺北市定古蹟。,傅園的入口位於？,靠近大門口處,舟山路上,新月臺附近,,從校門口進入後右轉就可以看到傅園入口，同一方向也是女一、二、三、五舍的出入口。,傅斯年校長因何原因逝世？,腦溢血,車禍,癌症,自然辭世,傅斯年校長接受議會質詢完的當晚腦溢血而死。,傅斯年校長哪一年辭世？,1950,1945,1955,1940,傅斯年校長在1949年接收初期來臺，短短在任兩年在臺大奠定了許多基礎。,傅園本來的作用為？,植物系的標本園,化工系的實驗地,森林系的實驗林,植微系的預定地,,傅斯年為臺大第幾任校長？,四,一,二,三,臺大接收初期十分動盪，前幾任的校長在政治環境不穩的情況下無法擔任校長太久。,何者並非傅園的特色？,前身是帝大動物園,斯年堂仿製希臘帕德嫩神廟,傅園裡面有傅斯年的骨灰罈,帕德嫩神廟被作為民主象徵，因此斯年堂可說是神格化傅斯年,傅園前身是臺北帝大熱帶植物園。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
傅鐘,傅鐘每次打響幾聲？,21,15,24,30,1951年為紀念傅斯年校長所設，由於傅斯年校長認為「一天只有二十一小時，剩下的三小時是用來沈思的。」 所以鐘聲每次敲響21下。,在鑄造傅鐘時，兵工廠同時鑄造了另一口鐘，請問這個一起出廠的鐘目前置於哪個學校？,臺南成功大學,新竹清華大學,臺北政治大學,臺中逢甲大學,此鐘在1952年至1958年其間作為成大校鐘使用，而後被電子鐘取代，並將鐘放置於博物館內。如今成大校徽上仍可見此鐘，成為成大的精神象徵。,下列哪個歷史事件和傅鐘有關？,保釣事件,美麗島事件,臺大哲學系事件,陳文成事件,由於傅鐘具精神與聲音上相關意義，保釣事件時，先後有學生在傅鐘進行靜坐、絕食等抗議。,傅斯年長期被神化為校園民主的守護者，還原四六事件當時，請問何者非傅斯年對陳誠所言？,不准逮捕學生,要趕快做,要趁早做,不准流血,傅斯年並非想像中力抗極權的自由派學者而是堅決反共者，因此選擇與國家合作以軍隊掃蕩校園。,以下何者不是臺大校園交通車的停靠站？,小福,傅鐘,社科院舊址,醫學院,臺大校區間交通車停靠傅鐘、社科院舊址、醫學院。,關於傅鐘的敘述何者錯誤？,2018上半年有群眾為了支持楊泮池聚集此處,現在由電子敲鐘,早期有工友負責敲鐘,在2018上半年被綁很多黃絲帶,2018年所發生的事件為管中閔遴選爭議。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政大樓,行政大樓位於哪個校內景點附近？,傅鐘,總圖,傅園,新月臺,從椰林大道上看，傅鐘後面就是第一行政大樓。,行政大樓裡的行政人員幾點開始下班？,5:00,5:30,6:30,4:30,行政人員的下班時間是5點，記得有相關行政事項要在行政人員下班前處理。,行政大樓的黑瓦紅磚建築、拱頂石、帶卷草的螺型托座為何種建築形式之特色？,後期文藝復興時期,日治時期,巴洛克時期,後現代主義時期,後文藝復興時期建築延續希臘羅馬的古典特色，強調對稱的形狀、柱體、大量使用原型與方型，反映宇宙和諧與規律。,行政大樓曾在不同時期扮演不同的行政用途，以下何者為非？,校本部與理工農三院辦公室,臺北高等農林學院本部,理農學院及專門部本部,行政大樓,行政大樓中間的坐落著的會議室在60年代是校本部及理工農三院辦公室。,何者並非行政大樓的建築特色？,山牆,仿後期文藝復興風格,黑瓦、紅磚,四根科林斯式立柱,行政大樓建築風格迥異於椰林大道建築群，反映出不同興建年代與教育體制的變化。,下列何單位位於在行政大樓西側的一層樓平房，而非行政大樓內部？,學生住宿服務組,註冊組,僑生及陸生輔導組,課外活動指導組,學生住宿服務組位於行政大樓西側的平房，負責處理學生住宿相關事宜。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
校史館,校史館原先是做為什麼功用的建築？,圖書館,文學院,理學院,行政大樓,舊總圖於1929年完工，1998新總圖落成並啟用後成為日文系館和國科會人文中心，在2005年校史館進駐。,校史館一樓匾額上題了什麼字？,敦品勵學,愛國愛人,臺灣大學,校史館,校史館一樓匾額上題了敦品勵學,校史館二樓有何人之塑像？,傅斯年,錢思亮,閻振興,虞兆中,,校史館為以前的舊總圖，二樓的作為閱覽室，窗戶採大拱窗設計，一樓則採小開窗設計，請問小開窗設計功用為何？,保存書籍,防止竊盜,實驗研究,防止火災,校史館一樓為過去舊總圖之書庫，為避免日光對藏書的影響，採取小開窗設計。,何者非校史館建築特色？,地下室是藏書空間,歷經五次的擴建,閉架室藏書管理,二樓以大型拱窗採光,舊總圖（校史館）建築是以閉架室藏書管理而設計的，一二樓中間有夾層書庫保存書籍，二樓則為挑高設計配合大型拱窗的閱覽室。,何者並非舊總圖（校史館）的建築特色？,黑瓦、紅磚,唭哩岸岩柱,大型拱窗,拱門,舊總圖採用的是北投窯場的時三溝面磚。門口柱子和校門一樣使用唭哩岸岩。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文學院,文學院的興建時間是？,臺北帝國大學時期,臺灣大學時期,,,文學院完工於1929年，是當時臺北帝大的看板建築。,請問下列哪一系所屬於文學院？,三者皆是,哲學系,戲劇學系,人類學系,以上系所皆屬文學院。,哪位傑出校友畢業於文學院？,林文月,林泠,邱妙津,侯文詠,林文月為中文系畢業，邱妙津為心理系畢，侯文詠為醫學系畢業，林泠為化學系畢業。,著名作家白先勇為臺大外文系之校友。請問下列何者非白先勇之著作？,《家變》,《孽子》,《孤戀花》,《一把青》,《家變》為臺大外文系校友王文興之作品。,文學院擁有校內最大的「車寄」，請問其功能為何？,遮陽避雨,停放腳踏車,郵筒,藏書,「車寄」為日文的門廊，讓車子臨時停放，以供賓客上下車，遮陽避雨，不受天氣影響。,何者並非文學院的建築特色？,紅磚,山牆,拱窗,斜屋頂,文學院具備椰林大道建築群的經典特色：山牆、拱窗、斜屋頂、中央門廊。紅磚則是行政大樓的特色。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
土木系館,土木工程館與哪一棟建築相連？,化學工程館,電機一館,天數館,化學館,土木工程館與化學工程館在建築結構上為同一棟建築。化學館則在醉月湖旁。,土木系館因建造當時受國際流行影響，頗富現代主義建築元素。下列何者是現代主義建築特色？,強調實用及線條簡潔,山牆及斜屋頂,以拱型為主要結構形式,,其他選項為日治時期建築特色，例如文學院即為臺大具代表性的日治時期建築之一。,以下關於土木系館的敘述何者錯誤？,土木系為戰後成立之科系,該地曾為?公圳流經處,位於椰林大道上,具有臺大傳統建築風格,日治時期1941年時設立工學部，土木系前身為當時的土木工程學講座。,土木系館設計師為下列何者？,校內營繕組人員,王大閎,伊東豐雄,李祖原,土木系館是校內人員資源不足的環境下營造。,帝大時期，椰林兩側的空間配置傳統為？,北文政、南理農,北商法、南理工,北理工、南商法,南北政、北理農,興建於改制初期的土木系館，過去是臺大工學院。它的興建打破了臺北帝大椰林大道兩側「北文政、南理農」的空間配置傳統，亦預告了臺灣社會由農轉工時代的來臨。,臺大改制有一批建築物是由臺大營繕組自行設計，請問下列何者為非？,普通教學館,心理系館,地理系館,部分學生宿舍,改制初期，因為大環境人力物力缺乏，校園發展較為停頓，因此以興建大量的學生宿舍及臨時教室為主，且皆由校內營繕人員設計，而非出自民間建築師之手。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
活大,何者不是活大的功用？,一般性課程教室,社團辦公室,餐廳,演出禮堂,活大一樓包括餐廳、怡仁堂，二樓有社團辦公室、排練教室、鋼琴教室，學生可登記使用。,請問活大（第一學生活動中心）位於哪裡？,總圖旁,醉月湖旁,管理學院旁,新體旁,總圖旁為活大。管理學院旁為二活。,請問第一學生活動中心（活大）的設計是由哪位建築師操刀？,王大閎,伊東豐雄,李祖原,森山松之助,王大閎為臺大設計13棟建築，如活大、保健中心等，有臺大御用建築師之稱。,何者不是活大內的學生餐廳？,八方雲集,麥當勞,韓風小舖,食香園素食館,活大內的鍋貼水餃店是四海遊龍。,活大建築融合了中國傳統與現代主義，何者並非活大建築特色？,清水模,天井,飛簷,臺基,活大具有許多中國傳統建築的語彙，包含屋頂兩邊的飛簷、建築本體下方的臺基、屋內的天井等。清水模則在新社科院可以看到。,活大在建築色調上，採用哪三個色系？,黑、朱紅、金,藍、紫、紅,紅、橘、白,灰、白、黑,活動中心在建築色調上，採用中國傳統的黑、朱紅與金色，並應用於門窗上，企圖營造出中國式的飽和色彩感受。,陳文成廣場是為紀念哪一事件所設立,陳文成事件,江南案,美麗島事件,林宅案,陳文成事件是1981年臺大陳文成教授離奇陳屍於臺大校園的事件，真相至今未明，由於陳文成教授曾贊助美麗島雜誌，並關注民主與民權一提，此案普遍被認為涉及政治。2015年該地點正式被命名為陳文成事件紀念廣場。,,,,,,,請問臺大公認的校花為何？,杜鵑花,梅花,蓮花,雞蛋花,,請問臺大校地約佔臺灣總面積的百分之幾？,1,0.1,0.5,2,臺大幅員遼闊，校地分布臺北、宜蘭、新竹、雲林，以及中部高山地區，校地面積約3萬4千公頃，佔臺灣總面積的百分之一，提供師生豐富的生物與生態多樣性研究環境。,107學年度第一學期開學日為幾月幾號？,9/10,9/15,9/6,9/12,,陳文成廣場是在第幾學年度，正式被校務會議通過，將其陳屍地點命名為「陳文成事件紀念廣場」？,103,100,90,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農業陳列館,農業陳列館附屬於臺大哪一學院？,生物資源暨農學院,醫學院,工學院,生命科學院,位於新月臺對面的農業陳列館成立在1964年，隸屬生物資源暨農學院，旨在呈現臺灣農業發展與改革的過程與成果。,舊的人類系、哲學系館為何被稱為洞洞館？,有琉璃筒瓦鑲在牆上以便通風,建築物年久失修,窗戶很多,,琉璃筒瓦是洞洞館的特色，可以讓建築物保持通風。,農業陳列館由張肇康先生設計，在建築設計上呼應許多中國傳統建築元素。請問此敘事是否為真？,O,X,,,農業陳列館的建築設計呼應中國傳統建築的墊高臺基、屋身內縮及懸挑大屋頂，為現代中國建築中呼應中國傳統的經典手法。,戰後初期有少數日籍教授被臺大留任，其餘被遣返回國，下列何者即為被遣返回國的日籍教授？,太田賴常,高?知武,松本巍,磯永吉,太田賴常是亞洲做出人工撞擊原子核實驗的第一人，而在1949年被國民政府遣返日本。,請問農陳館和哪兩個系之前的系館並稱洞洞館？,人類系、哲學系,中文系、日文系,哲學系、歷史系,農推系、農經系,舊的哲學系、人類系系館和農陳館合稱洞洞館，因為三棟建築牆上的琉璃筒瓦而有此名。農推系是現在生傳系的前身。,哲學系事件發生了什麼事？,十幾位哲學系的教職員被解聘,哲學系想要從文學院獨立,哲學系和師大的同學把警察抓走,沒有這個事件,"1970 年代的哲學系事件是在臺大校內以「反共」之名對臺大的學者進行整肅,有許多教職員遭到解聘。這個事件被認為是政府擔憂學運擴大,要壓制因保釣運動而起的學運風潮。1997 才獲平反。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
教學館,普通教學館有幾層樓？,5,2,7,3,普通教學館有5層樓，有不同大小的教室，可容納80~300個學生。,,,,,,,,,,,,,普通教學館與博雅教學館相連的通道位於幾樓？,2F,3F,4F,5F,普通教學館與博雅教學館在2樓間有通道連接。,普通教學館中控室在幾樓？,2,1,3,4,普通教學館的中控室位於2樓，若教室設備出現問題請至中控室向學校反映。,共同教室前方的樹木是？,松樹,榕樹,椰子樹,樟樹,,共同教學館與哪棟建築物最遠？,醫學院,水源校區,博雅教學館,社科院,共同教學館位於城中校區，其餘建築皆位於校總區。,十三溝面磚為表面有鋸齒的陶質色磚，具柔化陽光反射、軍事偽裝的作用，臺大有許多建築採用此建材，請問下列建築何者並未採用十三溝面磚？,博雅教學館,共同教學館,文學院,校史館,,共同教室的設計採取高樓退縮，樓層越高越往後退，請問原因為何？,為配合共同前面松樹的生長,預算不足減少建築規劃,避免松鼠進入教室,減少太陽斜曬,共同教室的設計採高樓層退縮，樓層越高，退縮越多，為配合共同前方松數的生長。,,,,,,,共同三松原本有五松，為何如今只剩三棵？,在興建共同教室時，因施工堆土而枯死,在興建共同教室時，被不肖廠商灌進廢水而死,某次颱風，把比較靠近舟山路的兩棵吹倒了,被來臺大校外教學的小學生推倒,1980年代，學校原本打算全部砍掉，進行共同教室的擴建，但砍了兩棵樹後，計畫突然終止,博雅教學館是所有教學大樓中最新的一棟，那他的命名原因是,全校師生共同命名,監察院院長張博雅掛名捐贈,當時校長李嗣涔所命名,,2011年杜鵑花節舉辦命名活動票選而出。,博雅教學館內有何種空間提供學生自習？,博雅學習開放空間,博雅資訊教室,博雅圖書館,博雅普通教室,博雅教學館內有學習開放空間提供學生自習。,現今博雅教學館的土地原本為何用途？,興建人文大樓,興建社會科學院,興建自動化高密度書庫,三者皆非,,博雅101教室最多可容納多少人？,400,200,500,300,,興建博雅教學館的原因是？,學生人數增加，教室已不敷使用,重啟之前因經費不足而放棄的計畫,極度缺乏容納60~120人的教室,校園整體改造計畫的實施,,新生大樓是哪一種類型的建築？,教學大樓,學術大樓,行政與服務大樓,學生宿舍,新生大樓是作為教學功能使用，包括大一共同必修、通識教育、全校性分班編組課程。,,,,,,,,,,,,,,,,,,,,,今年為臺大第幾周年校慶？,90,100,80,110,臺大1928年建立，今年2018年為第90周年校慶
小福,臺大校內唯一一家腳踏車店的位置是？,小福樓對面,椰林大道上,活大後面,博雅教學館對面,志雄單車店，低廉實惠的價格給臺大學生做腳踏車維修服務，也免費提供機油和充氣設備任學生自行DIY，目前店家由學校公開招標校外廠商進駐提供低廉而實惠的服務。,與其餘三選項相比，與小福相隔最遠的教室是哪一棟？,天數館,普通教學館,博雅教學館,文學院,天數館距離小福最遠。,請問小福內沒有以下什麼店？,臺大農產品中心,福利社,郵局,影印店,福利社及郵局位於小福一樓，影印店則位於小福三樓。臺大農產品中心則在舟山路和新月臺各有一家。,小福三樓並無以下何店家？,八方雲集,Hello Caf?,經典影印,金興發,八方雲集位於小福二樓。,郵局在小福樓的幾樓？,1,2,3,4,郵局在小福樓的一樓，營業時間為8:30-17:30，儲匯業務提早半小時結束。,臺大鮮奶在小福裡面哪裡有賣？,合作社,Hello Caf?,金興發,All pass食堂,早上八點與下午三點，固定在小福與臺大農產品展銷中心有賣臺大鮮奶。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小小福,小小福的主要功能為？,覓食,交辦行政事項,上課,舉辦社團活動,小小福販賣簡單餐點，也設有福利社提供日常生活用品。,距離小小福最近的建築物為何？,共同教學館,新生大樓,總圖,社科圖,距離小小福最近的建築物為共同教學館。,至小小福旁小吃部購買食物須注意什麼事項？,需自備零錢不找零,須備妥學生證,須注意下午有休息時間,須自備容器不主動提供,小小福旁第二小吃部不提供找零服務，須自備零錢，可至福利社換錢。,何者非小小福內餐廳供應的食物？,姐妹花雞排,素食,滷肉飯,紅豆餅,2017年臺大開店三十餘年的姊妹花雞排（第二小吃部）歇業，消息釋出時造成搶購熱潮。,關於大陸社何者為非？,大陸是指南極大陸,全名為大陸問題研究社,創社初期宣導反共,位於理髮部隔壁,大陸問題研究社創社宗旨為「研究大陸問題，認清共匪真面目，喚起救國熱情，致力復國大業」，跟臺灣政治發展脈絡相關。,小小福第二小吃部接受悠遊卡付款嗎？,是,否,,,小小福跟小福2018開始都可以接受悠遊卡付款。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
椰林小舖,椰林小舖如今的正式功用是？,校園紀念販賣點,網美拍照景點,夜間試膽地點,吃飯用餐地點,椰林小舖如今功用為販賣Colaz出品的臺大衣服，其他功能尚待發掘。,椰林小舖旁的一大塊用地有何種功用？,腳踏車停車場,學生運動場,臺大林場,臺大農場,為腳踏車停車場，因為腳踏車數量之多，學生間暱稱為腳踏車的墳場。,椰林小舖附近可看見一口煙囪，在日治時期進行農化醱酵實驗。請問此實驗的功用為何？,生產軍需燃料,生產抗污藥劑,生產農業肥料,提高室內溫度,製糖過程中剩下的粗糖可藉由醱酵作用直接生成丙醇和丁醇，作為替代航空燃料使用。,下列何者建築以前曾為帝大農學部玻璃工廠？,性平會,小木屋鬆餅,椰林小舖,住宿組,性平會現址為帝大理農學部玻璃工廠，負責供應大學內玻璃製品的需求。,大陸社與美髮部過去曾為什麼教室？,理農學部農化學教室,理農學部物理教室,理農學部生物學教室,理農學院植物學教室,大陸社與洗衣部現址的一排磚房為理農學部農化學教室。,椰林小舖旁的煙囪（本體）是在什麼時期設立的？,臺北帝大創校初期,二戰結束後,十大建設,日治初期,煙囪（本體）於1931年建立。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
醉月湖,醉月湖是學校官方命名的名稱嗎？,不是,是,,,醉月湖原是校內生態池，1973年學生自主舉辦划船比賽，主辦單位為了方便宣傳，在《畢聯會訊》上第一次使用「醉月湖」的名稱，沿用至今。,,,,,,,醉月湖中，通往湖心亭的橋是在1985年遭到校方拆除。請問此敘述是否為真？,X,O,,,醉月湖從未建造過通往湖心亭的橋，以往要通往湖心亭可以游泳或划船，但現在均禁止。,以下關於醉月湖的敘述何者為非？,位於國發所後側,舊名牛湳池,原為調節?公圳之用,曾舉辦划船比賽,醉月湖周遭建築有新體、舊體、天數、思亮館、新生教學館。,於近兩年興建完成的?公圳復原工程位置在？,博雅教學館附近,舟山路臺大生態池附近,醉月湖靠新體處,新生南路?公圳紀念碑附近,臺大從2015年重啟2001年因水源不足而停擺的?公圳復育計畫，將引用新店溪水源從農學院實驗同場，經舟山路、小椰林東緣、思亮館，最後抵達醉月湖。,,,,,,,?公圳大安支線在過去曾切過許多臺大現址，何者為非？,社科院,醉月湖,臺大農場,土木系館,?公圳大安支線從公館圓環分流，切過農場、生態池、森林系館、土木系館、醉月湖。,,,,,,,?公圳原址碑位於哪條路上？,新生南路,辛亥路,羅斯福路四段,復興南路二段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺大農場,臺大農場著名的商品，經常被校外人士排隊搶購的是？,牛奶,牛肉,高麗菜,麵包,臺大農場自有產品包括：臺大鮮奶、優酪乳、豆奶、冰淇淋三明治、冰棒、紅蘿蔔土司、清蛋糕、麵包、肉製品、園藝產品、農藝產品…臺大所有福利社都有一定配額可以買，可是牛奶這一項非常受歡迎，經常被校外人士搶購一空，要買得早起。,如果一個非生農學院的學生想在臺大種田應該選哪門課？,田園生活體驗,現代農業體驗,非生農學院無法體驗農業,,現代農業體驗提供生農學院學生選課，田園生活體驗則開放給非生農學院的學生。,請問目前臺大農場有飼養哪些動物？,三者皆是,乳羊,乳牛,小耳種李宋系迷你豬,臺大農場目前有飼養乳牛、乳羊及小耳種李宋系迷你豬。牛乳平均每日產量約500-600公斤、羊乳平均每日約產40-60公斤。,生農學院開設了數堂課程供同學修習並於臺大農場中體驗，請問為下列何者課程之一？,兩者皆是,現代農業體驗,田園生活體驗,兩者皆非,生物資源暨農學院開設「現代農業體驗」及「田園生活體驗」，提供學生體驗農業。,生態池為哪一條圳復育計畫中的一處水域？,?公圳,八堡圳,曹公圳,貓霧?圳,?公圳的水源是新店溪，是臺北地區重要的河流。,生態池之本名為？,?公圳水源地,臺大農場蓄水池,舟山親水池,臺大賞鳥池,現在的臺大生態池昔日是?公圳的水源地，在2003年時啟用，是臺大?公圳復育計畫的一部分。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
